Date,N,windows_1,scaled_windows_1
360,-1.0863084,200.0,0.554016620498615
361,-1.552071,200.0,0.5524861878453039
362,-0.39831713,200.0,0.5509641873278237
363,-1.2837957,200.0,0.5494505494505495
364,-2.8577182,200.0,0.547945205479452
365,-1.6920817,200.0,0.546448087431694
366,-1.8871247,200.0,0.5449591280653951
367,-2.715853,200.0,0.5434782608695652
368,-2.6584215,200.0,0.5420054200542005
369,-2.4938014,200.0,0.5405405405405406
370,-1.8522325,200.0,0.5390835579514824
371,-0.99963915,200.0,0.5376344086021505
372,-0.12781689,200.0,0.5361930294906166
373,-0.40273616,200.0,0.5347593582887701
374,-1.0358297,200.0,0.5333333333333333
375,0.20331591,200.0,0.5319148936170213
376,1.1670811,200.0,0.5305039787798409
377,-0.20701787,200.0,0.5291005291005291
378,-0.30025163,200.0,0.5277044854881267
379,0.55745983,200.0,0.5263157894736842
380,-0.25938767,200.0,0.5249343832020997
381,-0.010680225,200.0,0.5235602094240838
382,1.2993993,200.0,0.5221932114882507
383,1.0113535,200.0,0.5208333333333334
384,1.8859051,200.0,0.5194805194805194
385,2.5469737,200.0,0.5181347150259067
386,2.467562,200.0,0.5167958656330749
387,2.6452289,200.0,0.5154639175257731
388,1.3791916,200.0,0.5141388174807198
389,0.26372236,200.0,0.5128205128205128
390,0.15285632,200.0,0.5115089514066496
391,0.5516823,200.0,0.5102040816326531
392,1.3171214,200.0,0.5089058524173028
393,0.7722613,200.0,0.5076142131979695
394,0.5549903,200.0,0.5063291139240507
395,0.8466645,200.0,0.5050505050505051
396,1.599455,200.0,0.5037783375314862
397,2.0135553,200.0,0.5025125628140703
398,1.1789734,200.0,0.5012531328320802
399,0.5302653,282.0,0.705
400,-0.04773609,282.0,0.7032418952618454
401,0.21175396,282.0,0.7014925373134329
402,0.94320786,282.0,0.6997518610421837
403,0.38749343,282.0,0.698019801980198
404,1.2935503,282.0,0.6962962962962963
405,0.45665035,282.0,0.6945812807881774
406,1.7904758,282.0,0.6928746928746928
407,1.427414,282.0,0.6911764705882353
408,1.1038281,282.0,0.6894865525672371
409,-0.15047431,282.0,0.6878048780487804
410,0.5968822,282.0,0.6861313868613139
411,-0.57490385,282.0,0.6844660194174758
412,-0.820941,282.0,0.6828087167070218
413,-2.2019744,282.0,0.6811594202898551
414,-2.9118395,282.0,0.6795180722891566
415,-1.3915101,282.0,0.6778846153846154
416,-1.2229253,282.0,0.6762589928057554
417,-1.7917943,282.0,0.6746411483253588
418,-2.6337774,282.0,0.6730310262529833
419,-3.6113803,282.0,0.6714285714285714
420,-4.3261495,282.0,0.669833729216152
421,-5.3146725,282.0,0.6682464454976303
422,-4.0196943,282.0,0.6666666666666666
423,-4.6018615,282.0,0.6650943396226415
424,-3.1545308,282.0,0.6635294117647059
425,-4.506826,282.0,0.6619718309859155
426,-2.9236605,282.0,0.6604215456674473
427,-3.7128508,282.0,0.6588785046728972
428,-3.9437752,282.0,0.6573426573426573
429,-4.5783005,282.0,0.6558139534883721
430,-4.15031,282.0,0.654292343387471
431,-3.2529187,282.0,0.6527777777777778
432,-2.1794271,282.0,0.651270207852194
433,-1.538037,282.0,0.6497695852534562
434,-0.7655964,282.0,0.6482758620689655
435,-0.18101569,282.0,0.6467889908256881
436,1.3419718,282.0,0.6453089244851259
437,2.7078297,282.0,0.6438356164383562
438,2.4469814,282.0,0.642369020501139
439,2.9332454,282.0,0.6409090909090909
440,3.3028026,282.0,0.6394557823129252
441,1.732527,282.0,0.6380090497737556
442,0.059622727,282.0,0.636568848758465
443,0.76771003,282.0,0.6351351351351351
444,1.4351697,282.0,0.6337078651685393
445,1.3228786,282.0,0.6322869955156951
446,0.33060485,282.0,0.6308724832214765
447,-0.1256757,282.0,0.6294642857142857
448,0.33431083,282.0,0.6280623608017817
449,0.25191125,282.0,0.6266666666666667
450,-1.4107457,282.0,0.6252771618625277
451,-0.078198135,282.0,0.6238938053097345
452,0.192883,282.0,0.6225165562913907
453,0.037805125,282.0,0.6211453744493393
454,1.2660154,282.0,0.6197802197802198
455,-0.5742705,282.0,0.618421052631579
456,-2.0492144,282.0,0.6170678336980306
457,-1.1152147,282.0,0.6157205240174672
458,-0.6234127,282.0,0.6143790849673203
459,0.47755358,282.0,0.6130434782608696
460,1.1294813,282.0,0.6117136659436009
461,2.556705,282.0,0.6103896103896104
462,2.6401126,282.0,0.6090712742980562
463,2.6676502,282.0,0.6077586206896551
464,1.7396052,282.0,0.6064516129032258
465,3.1149285,282.0,0.6051502145922747
466,3.2650461,282.0,0.6038543897216274
467,1.1626292,282.0,0.6025641025641025
468,1.5801452,282.0,0.6012793176972282
469,2.0575151,282.0,0.6
470,3.283236,282.0,0.5987261146496815
471,2.3647408,282.0,0.597457627118644
472,1.9112512,282.0,0.5961945031712473
473,1.1005177,282.0,0.5949367088607594
474,2.2783954,282.0,0.5936842105263158
475,2.3248723,282.0,0.592436974789916
476,2.9549477,282.0,0.5911949685534591
477,1.3996857,282.0,0.5899581589958159
478,-0.07716184,282.0,0.5887265135699373
479,0.96547824,282.0,0.5875
480,0.870176,282.0,0.5862785862785863
481,1.6818485,282.0,0.5850622406639004
482,0.5678876,282.0,0.5838509316770186
483,0.5523019,282.0,0.5826446280991735
484,1.3593574,282.0,0.5814432989690722
485,0.8610473,282.0,0.5802469135802469
486,1.086953,282.0,0.5790554414784395
487,2.6940851,282.0,0.5778688524590164
488,2.0170376,282.0,0.5766871165644172
489,1.4431643,282.0,0.5755102040816327
490,1.7721606,282.0,0.5743380855397149
491,1.2509371,282.0,0.573170731707317
492,1.3705037,282.0,0.5720081135902637
493,0.8588107,282.0,0.5708502024291497
494,0.024597501,282.0,0.5696969696969697
